#枚举值部分
OSDFormat_Image,图片
OSDPosition_Left_Top,左上角
OSDPosition_Left_Bottom,左下角
OSDPosition_Right_Top,右上角
OSDPosition_Right_Bottom,右下角
WaveStyle_Line,线条样式
WaveStyle_Smooth,平滑样式
WaveStyle_Bar,柱状样式
PointStyle_Rect,正方形
PointStyle_Circle,圆形

#父类属性
geometry,区域

#自定义控件属性
minValue,最小值
maxValue,最大值
value,当前值
precision,精确度
step,步长
text,文字
unit,单位
title,标题
digitCount,数字长度
scalePrecision,刻度尺精确度
scaleMajor,大刻度数量
scaleMinor,小刻度数量
startAngle,起始旋转角度
endAngle,结束旋转角度
lineWidth,线条宽度
lineColor,线条颜色
borderRadius,边框圆角角度
space,间距
radius,圆角角度
barBgColor,柱状背景颜色
barColor,柱状颜色
animation,启用动画
animationStep,动画步长
outerCircleColor,外圆背景颜色
innerCircleColor,内圆背景颜色
pieColorStart,饼圆开始颜色
pieColorMid,饼圆中间颜色
pieColorEnd,饼圆结束颜色
coverCircleColor,覆盖圆颜色
scaleColor,刻度尺颜色
pointerColor,指针颜色
centerCircleColor,中心圆颜色
textColor,文字颜色
bgColor,背景颜色
leftValue,左侧值
rightValue,右侧值
rangeTextColor,范围值颜色
rangeStyle,范围值样式
doublePercent,对半等分
showValue,显示值
showOverlay,遮罩层
overlayColor,遮罩层颜色
progressColor,进度颜色
progressBgColor,进度背景颜色
circleColorStart,圆起始颜色
circleColorEnd,圆结束颜色
showPointer,显示指针
circleWidth,中间圆宽度
pieStyle,饼图样式
pointerStyle,指针样式
scaleStyle,刻度尺样式
ringWidth,圆环宽度
ringPercentStart,起始圆环百分比
ringPercentMid,中间圆环百分比
ringPercentEnd,结束圆环百分比
ringColorStart,起始圆环颜色
ringColorMid,中间圆环颜色
ringColorEnd,结束圆环颜色
arcColor,圆弧颜色
scaleNumColor,刻度颜色
usedColor,进度颜色
freeColor,空余颜色
titleColor,标题颜色
darkColor,加深颜色
lightColor,高亮颜色
foreground,前景颜色
background,背景颜色
percentColor,百分比颜色
crownColorStart,滑盖起始颜色
crownColorEnd,滑盖结束颜色
bgColorStart,背景起始颜色
bgColorEnd,背景结束颜色
centerColorStart,中间圆起始颜色
centerColorEnd,中间圆结束颜色
northPointerColor,指北针颜色
southPointerColor,指南针颜色
pointerHourColor,时钟颜色
pointerMinColor,分钟颜色
pointerSecColor,秒钟颜色
secondStyle,秒钟样式
ringColor,圆环颜色
triangleColor,三角形颜色
borderColor,边框颜色
borderWidth,边框宽度
northDotColor,指北点颜色
otherDotColor,其他点颜色
borderColor1,边框颜色1
borderColor2,边框颜色2
percentColor1,进度颜色1
percentColor2,进度颜色2
percentColor3,进度颜色3
baseColor,基准颜色
borderOutColorStart,外边框开始颜色
borderOutColorEnd,外边框结束颜色
borderInColorStart,里边框开始颜色
borderInColorEnd,里边框结束颜色
planeColor,姿态仪背景
glassColor,遮罩层颜色
handleColor,手柄颜色
degValue,旋转角度
rollValue,滚动值
angle,角度
valueTextColor,目标值文字颜色
valueBgColor,目标值背景颜色
outBgColor,外边框背景色
centerBgColorStart,圆环起始颜色
centerBgColorEnd,圆环结束颜色
showUserValue,显示用户值
userValue,用户值
userValueColor,用户值颜色
seconds,检测总时长
interval,时长进度更新间隔
enterColor,鼠标进入颜色
pressColor,鼠标按下颜色
iconText,四周图标值
centerText,中间图标值
cloudStyle,云台样式
autoRepeat,重复执行按下
autoRepeatDelay,延时执行按下动作
autoRepeatInterval,重复执行间隔
weatherType,天气类型

outerMaxValue,外圈最大值
outerMinValue,外圈最小值
outerValue,外圈值
outerCurrValue,外圈当前值
outerStartAngle,外环开始旋转角度
outerEndAngle,外环结束旋转角度
outerRingBgColor,外圈背景色
outerRingColor,外圈当前色
innerMaxValue,内圈最大值
innerMinValue,内圈最小值
innerValue,内圈值
innerCurrValue,内圈当前值
innerStartAngle,内环开始旋转角度
innerEndAngle,内环结束旋转角度
innerRingBgColor,内圈背景色
innerRingNegativeColor,内圈负值当前色
innerRingPositiveColor,内圈正值当前色
innerScaleMajor,内环大刻度数量
innerScaleMinor,内环小刻度数量
innerScaleColor,内环刻度颜色
innerScaleNumColor,内环刻度值颜色
precision,精确度
centerPixMapNegativeColor,中心图片颜色
centerPixMapPositiveColor,中心图片颜色
centerSvgPath,当前svg图片路径
outerValueTextColor,外环值文本颜色
innerNegativeValueTextColor,内环正值文本颜色
innerPositiveValueTextColor,内环负值文本颜色

nullPosition,起始角度
waterHeight,水波高度
waterDensity,水波密度
showPercent,显示百分比
showFree,显示未使用进度
showSmallCircle,显示小圆
clockWise,顺时针
borderOut,外边框
circleColor,圆颜色
percentStyle,进度样式风格
innerBgColor,文本所在圆环的背景
outlinePenWidth,外边框宽度
dataPenWidth,数据文本宽度
barStyle,风格样式
format,格式
currentValue,当前值
reverse,反向
value1,值1
value2,值2
value3,值3
color1,颜色1
color2,颜色2
color3,颜色3
autoRadius,自动圆角角度
autoFont,自动字体大小
valueAll,总大小
valuePlay,已播放大小
valueLoad,已缓存大小
colorPlay,已播放颜色
colorLoad,缓存颜色
showProgressRadius,显示进度圆角角度
clipCenter,剪切中间部分
alarmMode,报警模式
ringPadding,圆环边距
ringBgColor,圆环背景颜色
ringValue1,环形值1
ringValue2,环形值2
ringValue3,环形值3
ringColor1,环形颜色1
ringColor2,环形颜色2
ringColor3,环形颜色3

bgColorStart,主背景开始颜色
bgColorEnd,主背景结束颜色
barColorStart,开始颜色
barColorMid,中间颜色
barColorEnd,结束颜色
textNormalColor,文字正常颜色
textSelectColor,文字选中颜色
items,所有条目集合
currentIndex,选中条目索引
currentItem,选中条目文字
bgRadius,背景圆角半径
barRadius,选中条目圆角
keyMove,按键移动
horizontal,横向显示
flat,扁平化
paddingLeft,文字左侧间隔
paddingRight,文字右侧间隔
paddingTop,文字顶部间隔
paddingBottom,文字底部间隔
textAlign,文字对齐
showTriangle,显示倒三角
triangleLen,倒三角边长
trianglePosition,倒三角位置
triangleColor,倒三角颜色
showIcon,显示图标
iconSpace,图标间隔
iconSize,图标尺寸
iconNormal,正常图标
iconHover,悬停图标
iconCheck,选中图标
showLine,显示线条
lineSpace,线条间隔
lineWidth,线条宽度
linePosition,线条位置
lineColor,线条颜色
normalBgColor,正常背景颜色
hoverBgColor,悬停背景颜色
checkBgColor,选中背景颜色
normalTextColor,正常文字颜色
hoverTextColor,悬停文字颜色
checkTextColor,选中文字颜色
showArrow,显示箭头
arrowSize,箭头大小
arrowPosition,箭头位置

items,节点集合
rightIconVisible,显示右侧图标
tipVisible,显示提示信息
tipWidth,提示信息宽度
separateVisible,显示行分隔符
separateHeight,行分隔符高度
separateColor,行分隔符颜色
lineLeft,线条左侧显示
lineVisible,显示线条
triangleLeft,三角形左侧显示
triangleVisible,显示三角形
triangleWidth,三角形宽度
triangleColor,三角形颜色
parentIconMargin,父节点图标边距
parentMargin,父节点边距
parentFontSize,父节点字体大小
parentHeight,父节点高度
parentBgNormalColor,父节点正常背景色
parentBgSelectedColor,父节点选中背景色
parentBgHoverColor,父节点悬停背景色
parentTextNormalColor,父节点正常文字颜色
parentTextSelectedColor,父节点选中文字颜色
parentTextHoverColor,父节点悬停文字颜色
childIconMargin,子节点图标边距
childMargin,子节点边距
childFontSize,子节点字体大小
childHeight,子节点高度
childBgNormalColor,子节点正常背景色
childBgSelectedColor,子节点选中背景色
childBgHoverColor,子节点悬停背景色
childTextNormalColor,子节点正常文字颜色
